央视高清,#genre#
CCTV3综艺,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-3H265_4000
CCTV4中文国际,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-4H265_4000
CCTV5体育,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-5H265_4000
CCTV5+体育赛事,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-5plusH265_4000
CCTV6电影,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-6H265_4000
CCTV7国防军事,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-7H265_4000
CCTV8电视剧,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-8H265_4000
CCTV9记录,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-9H265_4000
CCTV10科教,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-10H265_4000
CCTV11戏曲,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-11-H265_4000
CCTV12社会与法,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-12H265_4000
CCTV13新闻,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-xw_4000
CCTV14少儿,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-14H265_4000
CCTV15音乐,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-15-yyH265_4000
CCTV16奥林匹克,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-16_4000
CCTV17农业农村,http://jiandjh.51vip.biz:5678/sxg.php?id=CCTV-17_4000
CCTV1综合,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?CONTENTID=00000110240127_1
CCTV2财经,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?CONTENTID=00000110240244_1
CCTV3综艺,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?CONTENTID=00000110240245_1
CCTV4中文国际,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?CONTENTID=00000110240316_1
CCTV5体育,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?CONTENTID=00000110240246_1
CCTV5+体育赛事,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?CONTENTID=00000110240128_1
CCTV6电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?CONTENTID=00000110240247_1
CCTV7国防军事,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?CONTENTID=00000110240248_1
CCTV8电视剧,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?CONTENTID=00000110240249_1
CCTV9记录,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?CONTENTID=00000110240250_1
CCTV10科教,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?CONTENTID=00000110240251_1
CCTV11戏曲,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?CONTENTID=00000110240328_1
CCTV12社会与法,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?CONTENTID=00000110240252_1
CCTV13新闻,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?CONTENTID=00000110240502_1
CCTV14少儿,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?CONTENTID=00000110240253_1
CCTV15音乐,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?CONTENTID=00000110240329_1
CCTV16奥林匹克,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?CONTENTID=00000110240388_1
CCTV17农业农村,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240326_1/encoder/0/playlist.m3u8?CONTENTID=00000110240326_1
1905电影,http://111.177.34.80/hlslive2.ks-cdn.m1905.com/live/LIVE8J4LTCXPI7QJ5/index.m3u8
CHC家庭影院,http://jiandjh.51vip.biz:5678/sxg.php?id=jbtygqCHCjtyyH265_4000
CHC动作电影,http://jiandjh.51vip.biz:5678/sxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,http://jiandjh.51vip.biz:5678/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
湖南频道,#genre#
湖南卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240130_1/encoder/0/playlist.m3u8?CONTENTID=00000110240130_1
湖南都市,http://124.232.233.17:6610/000000001001/201600020003/1400.m3u8?m3u8_level=2
湖南经视,http://124.232.233.17:6610/000000001001/201600020002/1400.m3u8?m3u8_level=2
湖南娱乐,http://124.232.233.17:6610/000000001001/201600020004/1400.m3u8?m3u8_level=2
湖南公共,http://124.232.233.17:6610/000000001001/201600020007/1400.m3u8?m3u8_level=2
湖南国际,http://124.232.233.17:6610/000000001001/201600020001/1400.m3u8?m3u8_level=2
湖南电视剧,http://124.232.233.17:6610/000000001001/201600020006/1400.m3u8?m3u8_level=2
湖南电影,http://124.232.233.17:6610/000000001001/201600020005/1400.m3u8?m3u8_level=2
金鹰纪实,http://124.232.233.17:6610/000000001001/201600020008/1400.m3u8?m3u8_level=2
金鹰卡通,http://124.232.233.17:6610/000000001001/201600020009/1400.m3u8?m3u8_level=2
芒果乐搜,http://124.232.233.17:6610/000000001001/201600020010/1400.m3u8?m3u8_level=2
卫视高清,#genre#
江苏卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=jswshd8m/8000000
广西卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=gxwshd8m/8000000
四川卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=scwshd/8000000
湖南卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hunanwshd8m/8000000
浙江卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=zjwshd8m/8000000
东方卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=dfwshd8m/8000000
北京卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=bjwshd8m/8000000
天津卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=tjwshd8m/8000000
辽宁卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=lnwshd8m/8000000
安徽卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=ahwshd8m/8000000
黑龙江卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hljwshd8m/8000000
广东卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=gdwshd8m/8000000
深圳卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=szwshd8m/8000000
湖北卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hubeiws8m/8000000
吉林卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=jlwshd8m/8000000
山东卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=sdws8m/8000000
江西卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=jxws8m/8000000
河南卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hnwshd8m/8000000
河北卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hbwshd8m/8000000
甘肃卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=gswshd8m/8000000
重庆卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=cqws8m/8000000
东南卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=dnwshd8m/8000000
云南卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=ynwshd8m/8000000
贵州卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=gzwshd8m/8000000
海南卫视,http://jiandjh.51vip.biz:5678/bestv.php?id=hainanwshd8m/8000000
江苏卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=jswsH265_4000
北京卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=bjwsH265_4000
东方卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=dfwsH265_4000
湖南卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=hnwsH265_4000
浙江卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=zjwsH265_4000
广东卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=gdwsH265_4000
江西卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=jxwsH265_4000
湖北卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=hbwsH265_4000
重庆卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=cqwsH265_4000
安徽卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=ahwsH265_4000
东南卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=dnwsfjwsH265_4000
山东卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=sdwsH265_4000
深圳卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=szwsH265_4000
天津卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=tjwsH265_4000
贵州卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=gzwsH265_4000
吉林卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=jlwsH265_4000
黑龙江卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=hljwsH265_4000
四川卫视,http://jiandjh.51vip.biz:5678/sxg.php?id=scwsH265_4000
北京卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8?CONTENTID=00000110240129_1
浙江卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240134_1/encoder/0/playlist.m3u8?CONTENTID=00000110240134_1
江苏卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240133_1/encoder/0/playlist.m3u8?CONTENTID=00000110240133_1
深圳卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240132_1/encoder/0/playlist.m3u8?CONTENTID=00000110240132_1
天津卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240136_1/encoder/0/playlist.m3u8?CONTENTID=00000110240136_1
广东卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240137_1/encoder/0/playlist.m3u8?CONTENTID=00000110240137_1
湖北卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240135_1/encoder/0/playlist.m3u8?CONTENTID=00000110240135_1
东方卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240242_1/encoder/0/playlist.m3u8?CONTENTID=00000110240242_1
山东卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240254_1/encoder/0/playlist.m3u8?CONTENTID=00000110240254_1
辽宁卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240255_1/encoder/0/playlist.m3u8?CONTENTID=00000110240255_1
安徽卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240256_1/encoder/0/playlist.m3u8?CONTENTID=00000110240256_1
河北卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240317_1/encoder/0/playlist.m3u8?CONTENTID=00000110240317_1
贵州卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240318_1/encoder/0/playlist.m3u8?CONTENTID=00000110240318_1
重庆卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240397_1/encoder/0/playlist.m3u8?CONTENTID=00000110240397_1
吉林卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240399_1/encoder/0/playlist.m3u8?CONTENTID=00000110240399_1
江西卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240398_1/encoder/0/playlist.m3u8?CONTENTID=00000110240398_1
东南卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240588_1/encoder/0/playlist.m3u8?CONTENTID=00000110240588_1
黑龙江卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240131_1/encoder/0/playlist.m3u8?CONTENTID=00000110240131_1
港台测试,#genre#
翡翠台,http://nas.jdshipin.com:8801/gdfc.php
明珠台,http://nas.jdshipin.com:8801/gdmz.php
私人影院,http://120.84.96.108:808/hls/24/index.m3u8
东森电影,http://120.84.96.108:808/hls/32/index.m3u8
东森洋片,http://120.84.96.108:808/hls/33/index.m3u8
龙翔电影,http://120.84.96.108:808/hls/35/index.m3u8
东森新聞,http://jiandjh.51vip.biz:35455/youtube/R2iMq5LKXco?quality=1080
東森財經,http://jiandjh.51vip.biz:35455/youtube/WHEPzbFA3hw?quality=1080
三立新聞,http://jiandjh.51vip.biz:35455/youtube/CKjSm5ZeehE?quality=1080
三立新聞+,http://jiandjh.51vip.biz:35455/youtube/jlldIiGA5bU?quality=1080
TVBS新聞,http://jiandjh.51vip.biz:35455/youtube/2mCSYvcfhtc?quality=1080
民視新聞,http://jiandjh.51vip.biz:35455/youtube/ylYJSBUgaMA?quality=1080
寰宇新聞,http://jiandjh.51vip.biz:35455/youtube/B7Zp3d6xXWw?quality=1080
中視新聞,http://jiandjh.51vip.biz:35455/youtube/TCnaIE_SAtM?quality=1080
台視新聞,http://jiandjh.51vip.biz:35455/youtube/xL0ch83RAK8?quality=1080
東森綜合,http://jiandjh.51vip.biz:35455/youtube/IS_FGyQY2tM?quality=1080
凤凰资讯,http://jiandjh.51vip.biz:35455/youtube/dmDg7NfUoSw?quality=1080
中天新聞,http://jiandjh.51vip.biz:35455/youtube/_QbRXRnHMVY?quality=1080
中天新聞2,http://jiandjh.51vip.biz:35455/youtube/WPfPjbOLNfE?quality=1080
华视新聞,http://jiandjh.51vip.biz:35455/youtube/wM0g8EoUZ_E?quality=1080
鏡新聞,http://jiandjh.51vip.biz:35455/youtube/5n0y6b0Q25o?quality=1080
新唐人,http://jiandjh.51vip.biz:35455/youtube/WIhgU_mc05A?quality=1080
抖鱼电影,#genre#
斗鱼-特辑电影,http://jiandjh.51vip.biz:35455/douyu/3637778
斗鱼-周末电影,http://jiandjh.51vip.biz:35455/douyu/3637726
斗鱼-华语经典,http://jiandjh.51vip.biz:35455/douyu/434971
斗鱼-吃米滴虫,http://jiandjh.51vip.biz:35455/douyu/315457
斗鱼-神乐影片1,http://jiandjh.51vip.biz:35455/douyu/122402
斗鱼-神乐影片2,http://jiandjh.51vip.biz:35455/douyu/85894
斗鱼-贝爷MAX厅,http://jiandjh.51vip.biz:35455/douyu/4332
斗鱼-漫威影片,http://jiandjh.51vip.biz:35455/douyu/6140589
斗鱼-刘德华电影,http://jiandjh.51vip.biz:35455/douyu/2516864
斗鱼-喜剧经典,http://jiandjh.51vip.biz:35455/douyu/9650887
斗鱼-豆瓣高分,http://jiandjh.51vip.biz:35455/douyu/8770422
斗鱼-宇哥电影,http://jiandjh.51vip.biz:35455/douyu/413573
斗鱼-女神金电影,http://jiandjh.51vip.biz:35455/douyu/747764
斗鱼-贝爷影厅1,http://jiandjh.51vip.biz:35455/douyu/252802
斗鱼-贝爷影厅2,http://jiandjh.51vip.biz:35455/douyu/36337
斗鱼-霍格影片,http://jiandjh.51vip.biz:35455/douyu/8814650
斗鱼-冰冰经典电影,http://jiandjh.51vip.biz:35455/douyu/74374
斗鱼-奶虫恐怖电影,http://jiandjh.51vip.biz:35455/douyu/263824
斗鱼-避风港影院,http://jiandjh.51vip.biz:35455/douyu/9826611
斗鱼-恐怖经典,http://jiandjh.51vip.biz:35455/douyu/1165374
斗鱼-变种人电影,http://jiandjh.51vip.biz:35455/douyu/9651304
斗鱼-小U电影,http://jiandjh.51vip.biz:35455/douyu/96577
斗鱼-小宇60帧,http://jiandjh.51vip.biz:35455/douyu/323876
斗鱼-华语电影,http://jiandjh.51vip.biz:35455/douyu/3928
斗鱼-喜剧电影,http://jiandjh.51vip.biz:35455/douyu/9292492
斗鱼-欧美大片,http://jiandjh.51vip.biz:35455/douyu/2793084
斗鱼-国产影片,http://jiandjh.51vip.biz:35455/douyu/5423
斗鱼-译制影片,http://jiandjh.51vip.biz:35455/douyu/2436390
虎牙电影,#genre#
虎牙-周星星,http://jiandjh.51vip.biz:35455/huya/11342412
虎牙-林正英,http://jiandjh.51vip.biz:35455/huya/11342421
虎牙-沈腾,http://jiandjh.51vip.biz:35455/huya/11601968
虎牙-古装武侠,http://jiandjh.51vip.biz:35455/huya/25098954
虎牙-经典动作,http://jiandjh.51vip.biz:35455/huya/26182091
虎牙-猫和老鼠,http://jiandjh.51vip.biz:35455/huya/11352879
虎牙-成龙,http://jiandjh.51vip.biz:35455/huya/11342386
虎牙-李连杰,http://jiandjh.51vip.biz:35455/huya/11342390
虎牙-刘德华,http://jiandjh.51vip.biz:35455/huya/11342424
虎牙-王晶,http://jiandjh.51vip.biz:35455/huya/11602058
虎牙-中华小当家,http://jiandjh.51vip.biz:35455/huya/11342413
虎牙-杰森·斯坦森,http://jiandjh.51vip.biz:35455/huya/21059588
虎牙-喜剧专场,http://jiandjh.51vip.biz:35455/huya/11602044
虎牙-甄子丹,http://jiandjh.51vip.biz:35455/huya/11352935
虎牙-巨石强森,http://jiandjh.51vip.biz:35455/huya/21059581
虎牙-洪金宝,http://jiandjh.51vip.biz:35455/huya/11279251
虎牙-詹姆斯邦德,http://jiandjh.51vip.biz:35455/huya/21059585
