🌎央视高清,#genre#
CCTV5体育,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?CONTENTID=00000110240246_1
CCTV5+体育赛事,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?CONTENTID=00000110240128_1
CCTV6电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?CONTENTID=00000110240247_1
CCTV7国防军事,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?CONTENTID=00000110240248_1
CCTV8电视剧,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?CONTENTID=00000110240249_1
CCTV9记录,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?CONTENTID=00000110240250_1
CCTV10科教,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?CONTENTID=00000110240251_1
CCTV11戏曲,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?CONTENTID=00000110240328_1
CCTV12社会与法,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?CONTENTID=00000110240252_1
CCTV13新闻,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?CONTENTID=00000110240502_1
CCTV14少儿,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?CONTENTID=00000110240253_1
CCTV15音乐,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?CONTENTID=00000110240329_1
CCTV16奥林匹克,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?CONTENTID=00000110240388_1
CCTV17农业农村,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240326_1/encoder/0/playlist.m3u8?CONTENTID=00000110240326_1
CCTV1综合,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226908/index.m3u8?servicetype=1
CCTV2财经,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1
CCTV3综艺,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1
CCTV4中文国际,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1
CCTV5体育,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV5+体育赛事,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1
CCTV6电影,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1
CCTV7国防军事,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1
CCTV8电视剧,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1
CCTV9记录,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1
CCTV10科教,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1
CCTV11戏曲,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1
CCTV12社会与法,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1
CCTV13新闻,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
CCTV14少儿,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1
CCTV15音乐,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1
CCTV16奥林匹克,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
CCTV17农业农村,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1
CCTV1综合,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000007000000001243/index.m3u8
CCTV1综合,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000036/index.m3u8
CCTV2财经,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047431/index.m3u8
CCTV2财经,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000050/index.m3u8
CCTV3综艺,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047432/index.m3u8
CCTV3综艺,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000051/index.m3u8
CCTV4中文国际,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047433/index.m3u8
CCTV4中文国际,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000052/index.m3u8
CCTV5体育,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047434/index.m3u8
CCTV5体育,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000053/index.m3u8
CCTV5+体育赛事,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047442/index.m3u8
CCTV5+体育赛事,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000061/index.m3u8
CCTV6电影,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047435/index.m3u8
CCTV6电影,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000054/index.m3u8
CCTV7国防军事,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047436/index.m3u8
CCTV7国防军事,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000055/index.m3u8
CCTV8电视剧,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047437/index.m3u8
CCTV8电视剧,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000056/index.m3u8
CCTV9记录,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047438/index.m3u8
CCTV9记录,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000057/index.m3u8
CCTV10科教,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047439/index.m3u8
CCTV10科教,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000058/index.m3u8
CCTV11戏曲,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000026000000446966/index.m3u8
CCTV11戏曲,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001019000000352943/index.m3u8
CCTV12社会与法,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047440/index.m3u8
CCTV12社会与法,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000060/index.m3u8
CCTV13新闻,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000045000000287929/index.m3u8
CCTV13新闻,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000050000000133801/index.m3u8
CCTV14少儿,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000008000000047441/index.m3u8
CCTV14少儿,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001001000000000059/index.m3u8
CCTV15音乐,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000026000000446967/index.m3u8
CCTV15音乐,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001019000000352948/index.m3u8
CCTV16奥林匹克,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000079000000434986/index.m3u8
CCTV17农业农村,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000025000000024152/index.m3u8
CCTV17农业农村,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000001018000000188913/index.m3u8
兵器科技,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244796/index.m3u8
第一剧场,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244808/index.m3u8
电视指南,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244797/index.m3u8
风云剧场,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244807/index.m3u8
风云音乐,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244809/index.m3u8
风云足球,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244800/index.m3u8
高尔夫·网球,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244801/index.m3u8
怀旧剧场,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244806/index.m3u8
女性时尚,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244811/index.m3u8
世界地理,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244805/index.m3u8
央视台球,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244803/index.m3u8
央视文化精品,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000091000000244810/index.m3u8
女性时尚,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
世界地理,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
央视高清台球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
高尔夫.网球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002497/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
怀旧剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云足球,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
第一剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云剧场,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002515/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
风云音乐,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
央视文化精品,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
电视指南,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
🍎湖南频道,#genre#
湖南卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240130_1/encoder/0/playlist.m3u8?CONTENTID=00000110240130_1
湖南都市,http://124.232.233.17:6610/000000001001/201600020003/1400.m3u8?m3u8_level=2
湖南经视,http://124.232.233.17:6610/000000001001/201600020002/1400.m3u8?m3u8_level=2
湖南娱乐,http://124.232.233.17:6610/000000001001/201600020004/1400.m3u8?m3u8_level=2
湖南公共,http://124.232.233.17:6610/000000001001/201600020007/1400.m3u8?m3u8_level=2
湖南国际,http://124.232.233.17:6610/000000001001/201600020001/1400.m3u8?m3u8_level=2
湖南电视剧,http://124.232.233.17:6610/000000001001/201600020006/1400.m3u8?m3u8_level=2
湖南电影,http://124.232.233.17:6610/000000001001/201600020005/1400.m3u8?m3u8_level=2
金鹰纪实,http://124.232.233.17:6610/000000001001/201600020008/1400.m3u8?m3u8_level=2
金鹰卡通,http://124.232.233.17:6610/000000001001/201600020009/1400.m3u8?m3u8_level=2
芒果乐搜,http://124.232.233.17:6610/000000001001/201600020010/1400.m3u8?m3u8_level=2
湖南卫视,http://124.232.233.6:6060/000000001901/202200010030/index.m3u8?m3u8_level=2
湖南都市,http://124.232.233.6:6060/000000001001/201600020003/index.m3u8?m3u8_level=2
湖南经视,http://124.232.233.6:6060/000000001001/201600020002/index.m3u8?m3u8_level=2
湖南娱乐,http://124.232.233.6:6060/000000001001/201600020004/index.m3u8?m3u8_level=2
湖南公共,http://124.232.233.6:6060/000000001001/201600020007/index.m3u8?m3u8_level=2
湖南国际,http://124.232.233.6:6060/000000001001/201600020001/index.m3u8?m3u8_level=2
湖南电视剧,http://124.232.233.6:6060/000000001001/201600020006/index.m3u8?m3u8_level=2
湖南电影,http://124.232.233.6:6060/000000001001/201600020005/index.m3u8?m3u8_level=2
金鹰纪实,http://124.232.233.6:6060/000000001001/201600020008/index.m3u8?m3u8_level=2
金鹰卡通,http://124.232.233.6:6060/000000001001/201600020009/index.m3u8?m3u8_level=2
湖南卫视,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000035/main.m3u8?IASHttpSessionId=OTT
湖南都市,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000041/main.m3u8?IASHttpSessionId=OTT
湖南经视,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000000002000000027983/main.m3u8?IASHttpSessionId=OTT
湖南娱乐,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000040/main.m3u8?IASHttpSessionId=OTT
湖南公共,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000044/main.m3u8?IASHttpSessionId=OTT
湖南国际,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000045/main.m3u8?IASHttpSessionId=OTT
湖南电视剧,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000037/main.m3u8?IASHttpSessionId=OTT
湖南电影,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000038/main.m3u8?IASHttpSessionId=OTT
金鹰纪实,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001007000000063477/main.m3u8?IASHttpSessionId=OTT
金鹰卡通,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000039/main.m3u8?IASHttpSessionId=OTT
快乐购,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000046/main.m3u8?IASHttpSessionId=OTT
湖南教育,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001016000000368716/main.m3u8?IASHttpSessionId=OTT
长沙影视,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000030/main.m3u8?IASHttpSessionId=OTT
嘉丽购,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000072/main.m3u8?IASHttpSessionId=OTT
芒果互娱,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001025000000196970/main.m3u8?IASHttpSessionId=OTT
📺卫视高清,#genre#
安徽卫视,http://124.232.233.6:6060/000000001901/202200010046/index.m3u8?m3u8_level=2
北京卫视,http://124.232.233.6:6060/000000001901/202200010033/index.m3u8?m3u8_level=2
兵团卫视,http://124.232.233.6:6060/000000001901/202200010071/index.m3u8?m3u8_level=2
东南卫视,http://124.232.233.6:6060/000000001901/202200010052/index.m3u8?m3u8_level=2
甘肃卫视,http://124.232.233.6:6060/000000001901/202200010064/index.m3u8?m3u8_level=2
广东卫视,http://124.232.233.6:6060/000000001901/202200010039/index.m3u8?m3u8_level=2
广西卫视,http://124.232.233.6:6060/000000001901/202200010003/index.m3u8?m3u8_level=2
贵州卫视,http://124.232.233.6:6060/000000001901/202200010044/index.m3u8?m3u8_level=2
海南卫视,http://124.232.233.6:6060/000000001901/202200010047/index.m3u8?m3u8_level=2
河北卫视,http://124.232.233.6:6060/000000001901/202200010051/index.m3u8?m3u8_level=2
河南卫视,http://124.232.233.6:6060/000000001901/202200010050/index.m3u8?m3u8_level=2
黑龙江卫视,http://124.232.233.6:6060/000000001901/202200010055/index.m3u8?m3u8_level=2
湖北卫视,http://124.232.233.6:6060/000000001901/202200010042/index.m3u8?m3u8_level=2
吉林卫视,http://124.232.233.6:6060/000000001901/202200010057/index.m3u8?m3u8_level=2
江苏卫视,http://124.232.233.6:6060/000000001901/202200010038/index.m3u8?m3u8_level=2
辽宁卫视,http://124.232.233.6:6060/000000001901/202200010056/index.m3u8?m3u8_level=2
内蒙古卫视,http://124.232.233.6:6060/000000001901/202200010067/index.m3u8?m3u8_level=2
宁夏卫视,http://124.232.233.6:6060/000000001901/202200010068/index.m3u8?m3u8_level=2
青海卫视,http://124.232.233.6:6060/000000001901/202200010065/index.m3u8?m3u8_level=2
厦门卫视,http://124.232.233.6:6060/000000001901/202200010053/index.m3u8?m3u8_level=2
山西卫视,http://124.232.233.6:6060/000000001901/202200010061/index.m3u8?m3u8_level=2
陕西卫视,http://124.232.233.6:6060/000000001901/202200010062/index.m3u8?m3u8_level=2
四川卫视,http://124.232.233.6:6060/000000001901/202200010048/index.m3u8?m3u8_level=2
天津卫视,http://124.232.233.6:6060/000000001901/202200010059/index.m3u8?m3u8_level=2
西藏卫视,http://124.232.233.6:6060/000000001901/202200010069/index.m3u8?m3u8_level=2
新疆卫视,http://124.232.233.6:6060/000000001901/202200010070/index.m3u8?m3u8_level=2
云南卫视,http://124.232.233.6:6060/000000001901/202200010054/index.m3u8?m3u8_level=2
浙江卫视,http://124.232.233.6:6060/000000001901/202200010036/index.m3u8?m3u8_level=2
重庆卫视,http://124.232.233.6:6060/000000001901/202200010045/index.m3u8?m3u8_level=2
北京卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240129_1/encoder/0/playlist.m3u8?CONTENTID=00000110240129_1
浙江卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240134_1/encoder/0/playlist.m3u8?CONTENTID=00000110240134_1
江苏卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240133_1/encoder/0/playlist.m3u8?CONTENTID=00000110240133_1
深圳卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240132_1/encoder/0/playlist.m3u8?CONTENTID=00000110240132_1
天津卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240136_1/encoder/0/playlist.m3u8?CONTENTID=00000110240136_1
广东卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240137_1/encoder/0/playlist.m3u8?CONTENTID=00000110240137_1
湖北卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240135_1/encoder/0/playlist.m3u8?CONTENTID=00000110240135_1
东方卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240242_1/encoder/0/playlist.m3u8?CONTENTID=00000110240242_1
山东卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240254_1/encoder/0/playlist.m3u8?CONTENTID=00000110240254_1
辽宁卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240255_1/encoder/0/playlist.m3u8?CONTENTID=00000110240255_1
安徽卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240256_1/encoder/0/playlist.m3u8?CONTENTID=00000110240256_1
河北卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240317_1/encoder/0/playlist.m3u8?CONTENTID=00000110240317_1
贵州卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240318_1/encoder/0/playlist.m3u8?CONTENTID=00000110240318_1
重庆卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240397_1/encoder/0/playlist.m3u8?CONTENTID=00000110240397_1
吉林卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240399_1/encoder/0/playlist.m3u8?CONTENTID=00000110240399_1
江西卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240398_1/encoder/0/playlist.m3u8?CONTENTID=00000110240398_1
东南卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240588_1/encoder/0/playlist.m3u8?CONTENTID=00000110240588_1
黑龙江卫视,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240131_1/encoder/0/playlist.m3u8?CONTENTID=00000110240131_1
湖南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225827/index.m3u8?servicetype=1
湖北卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225840/index.m3u8?servicetype=1
黑龙江卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221225862/index.m3u8?servicetype=1
厦门卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221226781/index.m3u8?servicetype=1
东方卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227059/index.m3u8?servicetype=1
河北卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227063/index.m3u8?servicetype=1
河南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227095/index.m3u8?servicetype=1
吉林卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227099/index.m3u8?servicetype=1
青海卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227119/index.m3u8?servicetype=1
辽宁卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227141/index.m3u8?servicetype=1
东南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227156/index.m3u8?servicetype=1
江苏卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227160/index.m3u8?servicetype=1
广东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227164/index.m3u8?servicetype=1
三沙卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227172/index.m3u8?servicetype=1
云南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1
安徽卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227178/index.m3u8?servicetype=1
四川卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227182/index.m3u8?servicetype=1
浙江卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227193/index.m3u8?servicetype=1
海峡卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1
天津卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227205/index.m3u8?servicetype=1
贵州卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227201/index.m3u8?servicetype=1
江西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227209/index.m3u8?servicetype=1
海南卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227216/index.m3u8?servicetype=1
重庆卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227240/index.m3u8?servicetype=1
山东卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227236/index.m3u8?servicetype=1
深圳卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227242/index.m3u8?servicetype=1
北京卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227246/index.m3u8?servicetype=1
广西卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227250/index.m3u8?servicetype=1
甘肃卫视,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227262/index.m3u8?servicetype=1
🌸香港凤凰,#genre#
凤凰资讯,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1
凤凰中文,http://[2409:8087:3428:20:500::100f]:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1
凤凰香港,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221226251/index.m3u8
🏠数字频道,#genre#
1905电影,http://111.177.34.80/hlslive2.ks-cdn.m1905.com/live/LIVE8J4LTCXPI7QJ5/index.m3u8
1905电影,http://124.132.156.25/hlslive2.ks-cdn.m1905.com/live/LIVE8J4LTCXPI7QJ5/index.m3u8
CHC家庭影院,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000050000000448842/index.m3u8
CHC高清电影,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000050000000448841/index.m3u8
CHC家庭影院,http://[2409:8087:5000:21::1016]:8089/180000001001/00000001000000000050000000448840/index.m3u8
